city,lat,lon
Curepipe,-20.3162,57.5166
Port Louis,-20.1667,57.5
Quartier Militaire,-20.25,57.55
Centre de Flacq,-20.2002,57.7177
Port Mathurin,-19.6833,63.4211
Cap Malheureux,-19.9861,57.6119
Trois Boutiques,-20.4502,57.656
Rose Hill,-20.2441,57.4719
Plaisance,-20.2421,57.461
Stanley,-20.2503,57.4597
Beau Bassin,-20.2276,57.4681
La Source,-20.2711,57.4625
Engrais Martial,-20.3003,57.5094
Floreal,-20.3094,57.5008
Eaux Coulee,-20.3042,57.5175
Malherbes,-20.3092,57.5247
Carreau La Liane,-20.2806,57.4764
Pellegrin,-20.2594,57.4905
Camp Caval,-20.32,57.5019
Mare Samson,-20.1714,57.4417
Petit Camp,-20.2698,57.4976
Grand River North West,-20.1779,57.4765
Quatre Bornes,-20.2654,57.4778
Petit Verger,-20.1756,57.4336
Chebel,-20.203,57.458
Richelieu,-20.1932,57.4595
Le Hochet,-20.1386,57.5301
Riche Terre,-20.1331,57.5247
Les Casernes,-20.3261,57.4986
Coromandel,-20.1879,57.4659
La Rotraite,-20.2,57.4667
Belle Etoile,-20.2047,57.4705
Forest Side,-20.32,57.5306
Engrais Cathan,-20.2992,57.5186
Solferino,-20.2908,57.4672
Terre Rouge,-20.1283,57.5312
Bonne Terre,-20.2878,57.4756
River Side,-20.2775,57.4967
Trianon,-20.2558,57.4942
Ebene,-20.2456,57.4842
Vacoas,-20.2981,57.4783
Holyrood,-20.3097,57.4675
Ville Noire,-20.4019,57.6947
Mahebourg,-20.4081,57.7
Bois Marchand,-20.1233,57.5331
Camp Roches,-20.3219,57.4678
Bois Pignolet,-20.1324,57.5446
La Cocoterie,-20.1316,57.5016
Richeterre,-20.1167,57.5
Mesnil,-20.2903,57.5117
La Croisee,-20.3186,57.4783
Glen Park,-20.3211,57.4783
Reunion,-20.3092,57.4881
La Marie,-20.335,57.485
Camp La Savanne,-20.325,57.4686
Camp Mapou,-20.3322,57.4653
La Rosa,-20.4136,57.6169
New Grove,-20.4086,57.6136
Petite Riviere,-20.1894,57.4453
Saint Paul,-20.2878,57.5044
Phoenix,-20.2867,57.5022
Mare d'Albert,-20.4186,57.6228
Camp Fouquereaux,-20.2869,57.5211
Morcellemont Saint Andre,-20.0731,57.5581
Gros Billot,-20.4164,57.6031
Triolet,-20.0547,57.5453
Bagatelle,-20.2555,57.5205
Highlands,-20.278,57.5163
Belle Terre,-20.2659,57.5219
Valentina,-20.2757,57.5056
Saint Antoine,-20.2814,57.5239
Khoyratty,-20.1206,57.5475
Cinq Arpents,-20.271,57.5309
Grand dans Fond,-20.1811,57.6667
Solitude,-20.0769,57.5386
Bon Air,-20.0619,57.5619
Rose Belle,-20.4003,57.5967
L'Union,-20.5,57.4667
Saint Felix,-20.5017,57.4606
Pomponnette,-20.5094,57.4803
Bois d'Oiseaux,-20.4131,57.6
Petit Verger,-20.2163,57.5257
Saint Pierre,-20.2215,57.5343
Riviere Baptiste,-20.2097,57.5357
Belle Rose,-20.215,57.5183
Mamzelle Jeanne,-20.0303,57.6497
Saint Antoine,-20.0417,57.6536
Belmont,-20.045,57.6586
Goodlands,-20.035,57.6431
Medine,-20.2422,57.6425
Roche Terre,-20.0186,57.6447
Bel Etang,-20.2397,57.6564
Madame Azor,-20.03,57.6611
Mon Desert,-20.2263,57.5353
Camp Auguste,-20.2415,57.5346
Belvedere,-20.1961,57.6639
Lalmatie,-20.1897,57.6611
Cote D'or,-20.2494,57.5356
Trou aux Biches,-20.045,57.5461
Surinam,-20.5097,57.5053
Riambel,-20.515,57.5
Cottage,-20.0597,57.6292
Forbach,-20.0644,57.6258
Notre Dame,-20.143,57.5597
Montagne Longue,-20.1431,57.5622
Grand Baie,-20.0130199,57.584627
Trou aux Biches,-20.0362961,57.5447033
Roches Noires,-20.1088905,57.7185331
Bel Air Riviere Seche,-20.25680473,57.75218952
Black River,-20.36028,57.36611
Henrietta,-20.3356,57.4664
Camp Levieux,-20.25899,57.49
Roche Brunes,-20.2331,57.4525
Haute Rive,-20.0969,57.6981
Albion,-20.2117,57.4008
St Antoine,-20.2814,57.5239
Calodyne,-20.003273,57.641668
Tombeau Bay,-20.126779,57.505168
Baie Du Tombeau,-20.126779,57.505168
Riviere Noire,-20.36028,57.36611
La Preneuse,-20.355647,57.370126
Pinte aux Sables,-20.172186,57.447313
Flic en Flac,-20.281253,57.373649
 Grand Gaube,-20.014892,57.66818
Moka,-20.222934,57.510413
Poste de Flacq,-20.167912,57.748151
Soreze,-20.20878,57.48289
Sodnac,-20.275047,57.482376
Le Morne,-20.453433,57.313142
Le Morne Brabant,-20.453433,57.313142
Congomah,-20.14676,57.596209
Pointe aux Canonniers,-20.006318,57.563124
Vallee des Pretres,-20.168305,57.5352
d'Epinay,-20.130721,57.597272
Mon Choisy,-20.020129,57.564207
Belle Rose (Est),-20.25134,57.482697
Floreal,-20.315889,57.503869
Blue Bay,-20.44343,57.718187
Ste Croix,-20.151637,57.528778
Sainte Croix,-20.151637,57.528778
Bois Cheri,-20.428761,57.52833
Tamarin,-20.340115,57.375068
Pointe d'Esny ,-20.432061,57.726766
Midlands,-20.338133,57.570607
Balaclava,-20.093361,57.513292
Beau Champ,-20.273006,57.785425
Arsenal,-20.1056,57.5353
Ilot Fortier,-20.38514,57.36958
Bras d'Eau,-20.1439,57.7208
Poste Lafayette,-20.1306,57.7478
The Vale,-20.0283,57.5878
Rodrigues Island,-19.75000,63.35000
Engrais Martial,-20.30030,57.50940
Cinq Arpents,-20.27100,57.53090
Telfair,-20.22900,57.50610
Eaux Coulee,-20.30420,57.51750
Pointe aux Canonniers,-20.00830,57.56000
Holyrood,-20.30970,57.46750
Petit Bois,-20.24140,57.75500
L'Espoir,-20.11110,57.54970
Bois des Amourettes,-20.36310,57.73110
Chantenay,-20.21710,57.52010
Bagatelle,-20.22150,57.49380
Gros Billot,-20.41640,57.60310
D'Epinay,-20.12690,57.58920
L'Union,-20.50000,57.46670
Deux Bras,-20.40140,57.63110
Camp du Roi,-19.68890,63.42500
Eau Vannee,-19.73190,63.42220
Esperance,-20.22500,57.58720
Coromandel,-19.71390,63.47500
Creve Coeur,-20.19350,57.56330
Montagne Blanche,-20.28280,57.65440
La Fouche,-19.73890,63.38190
Mangue,-19.71670,63.39170
Riviere du Rempart,-20.10310,57.68470
Hermitage,-20.08110,57.68470
Gentilly,-20.22540,57.51220
Trefles,-19.68330,63.46670
Terre Rouge,-20.12830,57.53120
Belle Rose,-20.21500,57.51830
Cottage,-20.05970,57.62920
La Marie,-20.33500,57.48500
Pont Colville,-20.38280,57.55810
Notre Dame,-20.14300,57.55970
Circonstance,-20.22240,57.54320
La Flora,-20.41030,57.55360
Saint Cloud,-20.14780,57.63420
Morcellemont Saint Andre,-20.07310,57.55810
Bon Espoir,-20.08610,57.62030
Belle Vue Maurel,-20.12030,57.66360
Beau Bassin,-20.2276,57.4681
Bel Air,-20.5006,57.5706
Amaury,-20.1308,57.6592
Brule,-19.7028,63.4667
Petit Verger,-20.1756,57.4336
Moka,-20.219,57.5108
Mount Ory,-20.2172,57.4901
La Bergerie,-20.1133,57.5253
Gokoola,-20.1042,57.6469
L'Esperance,-20.0864,57.6356
Solferino,-20.2908,57.4672
Roche Terre,-20.0186,57.6447
Malherbes,-20.3092,57.5247
Mont Blanc,-20.4789,57.4744
Beau Sejour,-20.0947,57.6286
Piton,-20.0903,57.6303
La Croisee,-20.3186,57.4783
La Lucie,-20.2597,57.7356
Anse Jonchee,-20.3475,57.7453
Melville,-20.0194,57.6744
Beau Vallon,-20.4189,57.6953
Quatre Bornes,-20.2654,57.4778
Mare d'Australia,-20.1528,57.6406
Amitie,-20.15,57.5667
Grand Bois,-20.4189,57.5442
Bois Rouge,-20.0814,57.5831
Schoenfeld,-20.0806,57.6656
Camp Bouillon,-20.1886,57.7322
Constance,-20.1778,57.7086
Belle Isle,-20.25,57.3833
Rose Hill,-20.2441,57.4719
Tyack,-20.4761,57.5519
Bramsthan,-20.2097,57.7306
Camp Sonah,-20.2333,57.6667
La Rotraite,-20.2,57.4667
Plaisance,-20.2421,57.461
Reduit,-20.2344,57.4939
Floreal,-20.3094,57.5008
Vainqueur,-19.6667,63.4667
Belle Mare,-20.195,57.7683
Port Louis,-20.1667,57.5
Belle Vue Pilot,-20.05,57.5833
Camp Garreau,-20.2006,57.7122
Grande Rosalie,-20.1314,57.6047
The Vale,-20.0283,57.5878
Petite Rosalie,-20.1203,57.6025
Le Chaland,-20.4447,57.6986
Petit Gamin,-20.1039,57.5175
La Commune,-20.3083,57.7208
Haute Rive,-20.0969,57.6981
Highlands,-20.278,57.5163
Baie aux Huitres,-19.6944,63.4083
Pointe d'Esny,-20.4267,57.7197
Petit Gabriel,-19.7167,63.4167
La Rosa,-20.4136,57.6169
La Caroline,-20.2458,57.7467
Saint Antoine,-20.0417,57.6536
Verdun,-20.232,57.5507
Petit Sable,-20.3286,57.76
Camp Mapou,-20.3322,57.4653
Plaine des Papayes,-20.065,57.5725
Belle Terre,-20.2659,57.5219
Belle Vue Harel,-20.0658,57.5942
Valton,-20.1559,57.5704
Haut de Flacq,-20.2028,57.6681
Plaines des Roches,-20.1117,57.6908
Mon Loisir,-20.0328,57.6192
Port Mathurin,-19.6833,63.4211
La Gaiete,-20.2136,57.7244
Grande Riviere Sud Est,-20.2861,57.7758
Ville Bague,-20.1447,57.6211
Balisson,-20.3928,57.5819
Baie Topaze,-19.7292,63.3611
La Rampe - Le Moirt,-20.4258,57.6317
Baillache,-20.1473,57.5714
Surinam,-20.5097,57.5053
Reunion,-20.3092,57.4881
Bois d'Oiseaux,-20.4131,57.6
Madame Azor,-20.03,57.6611
Coteau Raffin,-20.4339,57.3453
Valetta,-20.2559,57.566
Nouvelle Decouverte,-19.7111,63.4694
Canot,-20.2175,57.4217
Bassin Cabri,-19.7361,63.4667
Union Flacq,-20.2044,57.6856
Saint Paul,-20.2878,57.5044
Mesnil,-20.2903,57.5117
Les Mariannes,-20.1642,57.5836
Bon Accueil,-20.1708,57.6564
Saint Avold,-20.4375,57.5508
Camp Ithier,-20.2158,57.7456
Trou aux Biches,-20.045,57.5461
Camp des Embrevades,-20.1147,57.5703
Paves,-19.6833,63.45
Chameaux,-19.7028,63.4542
Rose Belle,-20.4003,57.5967
Belvedere,-20.1961,57.6639
Ruisseau Copeaux,-20.4186,57.6572
Tosca,-20.1896,57.5634
Grand Baie,-20.0184,57.5802
Henrietta,-20.3356,57.4664
Plaine Magnien,-20.4286,57.6531
Mont Lubin,-19.7083,63.4417
Benares,-20.4969,57.5831
Camp Fouquereaux,-20.2869,57.5211
Riche Terre,-20.1331,57.5247
Bois Jacot,-20.1358,57.665
Saint Louis,-19.7167,63.475
Bar le Duc,-20.237,57.5751
Petite Julie,-20.1386,57.6183
Medine,-20.2603,57.3889
Nouvelle France,-20.3706,57.5611
Minissy,-20.2403,57.5136
Trianon,-20.2558,57.4942
Calebasses,-20.1117,57.5539
Cote d'Or,-20.2494,57.5356
Ile d'Ambre,-20.0742,57.6803
Barkly,-20.2203,57.4494
Mon Gout,-20.1175,57.5897
Camp Poorun,-20.1675,57.7253
La Ferme,-19.7,63.3833
Quatre Cocos,-20.2078,57.7625
Bois Mangue,-20.0642,57.5825
Saint Remy,-20.1872,57.7119
Petite Riviere,-20.1894,57.4453
Khoyratty,-20.1206,57.5475
Bambous Virieux,-20.3428,57.7575
Soupir,-19.7056,63.4292
Ville Noire,-20.4019,57.6947
Camp La Savanne,-20.325,57.4686
Eau Bonne,-20.2589,57.4119
Pereybere,-19.9906,57.5856
Barlow,-20.1242,57.6478
Isidore Rose,-20.2078,57.7481
Lavilleon,-20.4425,57.3561
Petit Gravier,-19.7278,63.4833
Petite Butte,-19.75,63.3833
Solitude,-19.6861,63.4375
Camp Bestel,-20.0536,57.5214
Beau Manguier,-19.9839,57.6011
Petit Bel Air,-20.3994,57.6919
Beau Bois,-20.4606,57.5369
Vuillemin,-20.255,57.5847
Argy,-20.1981,57.7294
Forest Side,-20.32,57.5306
Mare Jacot,-20.2478,57.6764
Poudre d'Or,-20.06,57.6767
Bois Marchand,-20.1233,57.5331
Souillac,-20.5167,57.5167
Camp Creoles,-20.2044,57.4089
Providence,-20.1789,57.7281
Bambou,-19.6833,63.45
Camp Roches,-20.3219,57.4678
Union Park,-20.3864,57.5736
Esperance Trebuchet,-20.0697,57.6419
Camp Creole,-20.1328,57.5933
Bel Etang,-20.2397,57.6564
Arsenal,-20.1056,57.5353
Vacoas,-20.2981,57.4783
Caroline,-20.1824,57.5669
Belle Etoile,-20.2047,57.4705
Anse aux Anglais,-19.6758,63.4346
Pamplemousses,-20.1167,57.5833
Goodlands,-20.035,57.6431
Pont Blanc,-20.1667,57.7044
L'Etoile,-20.3044,57.7031
Congomah,-20.1489,57.5908
Phoenix,-20.2867,57.5022
Valentina,-20.2757,57.5056
Poudre d'Or Hamlet,-20.0769,57.6478
L'Avenir,-20.2183,57.5528
Camp de Masque,-20.2369,57.6633
Palma,-20.2792,57.4442
The Mount,-20.1114,57.6022
Quatre Vents,-19.7,63.4
Saint Pierre,-20.2215,57.5343
Mare La Chaux,-20.1981,57.7494
Camp Auguste,-20.2415,57.5346
Marechal,-19.7333,63.3944
Sebastopol,-20.2889,57.6875
Pavillon,-19.9897,57.6089
Roche Bon Dieu,-19.6917,63.4708
Albion,-20.2117,57.4008
L'Escalier,-20.19,57.5822
Plein Bois,-20.4575,57.6211
Ernest Florent,-20.2642,57.7592
La Marre,-20.1567,57.6419
Rouge Terre,-20.0433,57.5683
La Cocoterie,-20.1316,57.5016
Grand Sable,-20.3142,57.7644
Marie Jeanie,-20.3961,57.5881
Mon Rocher,-20.0906,57.5739
Batimarais,-20.4814,57.5675
Camp Diable,-20.4628,57.5789
Martindale,-20.2303,57.4986
Maison Blanche,-20.1081,57.5747
Belle Vue Allendy,-20.1883,57.6986
Belmont,-20.045,57.6586
Petit Paquet,-20.0014,57.6292
Pellegrin,-20.2775,57.6792
Cap Malheureux,-19.9861,57.6119
Riviere du Poste,-20.4242,57.5669
Fond du Sac,-20.0431,57.5786
Mare Samson,-20.1714,57.4417
Saint Felix,-20.5017,57.4606
Quatre Soeurs,-20.2992,57.7706
Mahebourg,-20.4081,57.7
Vieux Grand Port,-20.3669,57.7064
Les Casernes,-20.3261,57.4986
Trou d'Eau Douce,-20.2417,57.7857
Plaine Corail,-19.7583,63.3583
Chemin Grenier,-20.4872,57.4656
Mon Desert,-20.2263,57.5353
Riambel,-20.515,57.5
Bonne Terre,-20.2878,57.4756
Petite Cabane,-20.2519,57.6689
Camp de Masque Pave,-20.2361,57.675
Deux Freres,-20.2867,57.7711
Malenga,-20.1997,57.5604
La Clemence,-20.1028,57.6764
Forbach,-20.0644,57.6258
Reunion Maurel,-20.0192,57.6308
Sottise,-20.0208,57.5722
Sans Souci,-20.2958,57.6514
Mon Piton,-20.0892,57.6244
Coquinbourg,-20.2378,57.6381
Ville Valio,-20.0939,57.5039
Centre de Flacq,-20.2002,57.7177
La Dagotiere,-20.2466,57.5616
Beau Champ,-20.2714,57.7664
Roches Noire,-20.1111,57.7122
Ruisseau Rose,-20.1565,57.5749
Camp Caval,-20.32,57.5019
Curepipe,-20.3162,57.5166
Riviere Baptiste,-20.2097,57.5357
La Crete,-20.4194,57.3794
Citron Donis,-19.7292,63.4167
Le Plessis,-20.1147,57.5975
Marie Jeanne,-20.3039,57.7608
Ebene,-20.2456,57.4842
Petit Camp,-20.2698,57.4976
Bois Cheri,-20.2191,57.5164
Stanley,-20.2503,57.4597
Bois Pignolet,-20.1324,57.5446
Le Goulet,-20.1008,57.5106
Grande Case Noyale,-20.41,57.3619
Riviere des Creoles,-20.3881,57.6886
Melotte,-20.1894,57.566
Songe,-19.7389,63.4417
Grand River North West,-20.1779,57.4765
Pomponnette,-20.5094,57.4803
New Grove,-20.4086,57.6136
Mamzelle Jeanne,-20.0303,57.6497
Mont Choisy,-20.0206,57.5556
Labourdonnais,-20.0683,57.61
Madame Cayeux,-20.1119,57.5875
Thomassin,-20.1729,57.5627
La Sourdine,-20.4783,57.6128
La Laura,-20.2031,57.5518
Richelieu,-20.1932,57.4595
La Source,-20.2711,57.4625
Grand Gaube,-20.0064,57.6608
Riche Bois,-20.4564,57.5769
Citronelle,-19.7,63.4417
Bambous,-20.2567,57.4061
Palmar,-20.2172,57.7689
Grand dans Fond,-20.1811,57.6667
Petit Raffray,-20.0133,57.6119
Mare Tabac,-20.4358,57.5886
Terracine,-20.5061,57.5144
Trio,-20.0475,57.535
Grand Bel Air,-20.4064,57.6736
Gros Cailloux,-20.2072,57.43
L'Assurance,-20.2516,57.5542
Mare d'Albert,-20.4186,57.6228
Bonne Veine,-20.2381,57.5878
La Russie,-20.2436,57.5967
Pointe aux Roches,-20.3233,57.7625
Dalais,-20.3972,57.6853
Patate Theophile,-19.7,63.4833
Belle Vue,-20.195,57.4117
Camp Samy,-20.2211,57.505
Le Hochet,-20.1386,57.5301
Lalmatie,-20.1897,57.6611
Long Mountain,-20.1431,57.5622
Lataniers,-19.7139,63.4472
Richeterre,-20.1167,57.5
Union Vale,-20.4439,57.655
Alma,-20.2441,57.5726
Quartier Militaire,-20.25,57.55
Antoinette,-20.1217,57.6342
Robinson,-20.1729,57.5693
Grande Retraite,-20.1656,57.6767
La Mecque,-20.2486,57.3894
Beau Plan,-20.0942,57.5683
Ilot,-20.13,57.5725
Palissade Ternel,-19.7111,63.4542
Ravin,-20.1,57.6833
Saint Francois,-20.0044,57.6342
Chebel,-20.203,57.458
River Side,-20.2775,57.4967
Pont Praslin,-20.1494,57.6325
Boulingrin,-20.1676,57.5722
Glen Park,-20.3211,57.4783
Saint Gabriel,-19.7,63.4333
Clavet,-20.2986,57.6978
Brisee Verdiere,-20.1639,57.6467
Anna,-20.265,57.3783
Grande Montagne,-19.7125,63.4667
Germain,-20.0158,57.6664
Laventure,-20.1458,57.6767
Triolet,-20.0547,57.5453
La Barraque,-20.4669,57.6194
Poste de Flacq,-20.1631,57.7306
Ecroignard,-20.2261,57.7361
Bon Air,-20.0619,57.5619
Petit Brule,-19.7111,63.4625
Joli Bois,-20.4411,57.58
Saint Julien,-20.2264,57.6364
Helvetia,-20.2222,57.5181
L'Unite,-20.2328,57.6672
Pointe aux Feuilles,-20.3058,57.7733
Carreau La Liane,-20.2806,57.4764
Gros Bois,-20.4378,57.6072
Riviere Cocos,-19.7403,63.4111
Engrais Cathan,-20.2992,57.5186
Mauritius,-20.431997,57.67663
